uid,offence,date,jail,mode,conditions,fine,appeal
2024abcj264_230980468P1_1,cc_268,2024-12-18,42m,jail-consecutive,,,
2024abcj261_211057310P1_1,cdsa_5(2),2021-10-27,729d,cso-consecutive,18m-probation,,
2024abcj250_200527604P1_1,cc_172.1,2020-05-09,729d,cso-consecutive,2y-probation,,
2024abcj244_230101123P1_1,cc_271#a,2020-04-07,729d,cso-consecutive,12m-probation,,
2024abcj246_221211956P1_1,cc_162.1,2022-04-01&2022-10-31,90d,jail-intermittent,12m-probation,,
2024abcj227_230175168P1_1,cdsa_5(2),2022-04-21,729d,cso-consecutive,,,
2024abcj228_221069834P1_1,cc_271#a,2022-06-15,5y&6m&3d,jail-consecutive,,,
2024abcj228_221069834P1_2,cc_344(1)(b),2022-06-15,5y&6m&3d,jail-concurrent,,,
2024abcj228_221069834P1_3,cc_145(5),2022-06-15,30d,jail-concurrent,,,
2024abcj228_221069834P1_4,cc_145(2),2022-12-08,5d,jail-concurrent,,,
2024abcj231_220901912P1_1,cc_153,2024-11-12,1y,cso-consecutive,,,
2024abcj231_220901912P1_2,cc_271#a,2024-11-12,1y,cso-concurrent,,,
2024abcj218_221074057P1_1,cc_266,2022-10-12,,,12m-discharge,,
2024abcj217_230721136P1_1,cc_151,2022-04-01&2022-07-31,4y,jail-consecutive,,,
2024abcj213_230570665P1_1,cc_320.13(3)#1,2022-12-02,2y,,,,
2024abcj201_210813614P1_1,cc_151,2021-06-01&2022-07-01,2y,jail-consecutive,2y-probation,,
2024abcj201_210813614P1_2,cc_152,2021-06-01&2022-07-01,1y,jail-concurrent,2y-probation,,
2024abcj230_240142232P1_1,cc_95,2023-07-13,547d,jail-consecutive,,,
2024abcj197_240092288P1_1,cc_279(2),2023-10-05,729d,jail-consecutive,2y-probation,,
2024abcj197_240092288P1_2,cc_267(b),2023-10-05,729d,jail-concurrent,2y-probation,,
2024abcj197_240092288P1_3,cc_145(5),2023-10-05,729d,jail-concurrent,2y-probation,,
2024abcj196_230485310P1_1,cc_273(2)(b),2022-10-12&2023-02-27,10y,jail-consecutive,,,
2024abcj194_190040980P1_1,cc_151,2018-08-03&2018-09-03,729d,jail-consecutive,,,
2024abcj194_190040980P1_2,cc_152,2018-08-03&2018-09-03,729d,jail-concurrent,,,
2024abcj191_230296261P1_1,cc_172.1,2021-09-15,729d,cso-consecutive,3y-probation,,
2024abcj192_240142232P1_1,cc_95,2023-05-16,729d,cso-consecutive,,,
2024abcj181_230605867P1_1,cc_334(a),2018-06-11&2020-12-20,,,20m-discharge,,
2024abcj180_240021469P1_1,cc_320.13(3)#1,2023-07-23,30m,jail-consecutive,,,
2024abcj178_230136202P1_1,cc_344(1)(b),2023-02-09,,,30m-probation,,
2024abcj178_230196784P1_1,cc_270,2023-02-28,,,30m-probation,,
2024abcj178_230736670P1_1,cc_267(b),2023-01-26,,,30m-probation,,
2024abcj178_231054545P1_1,cc_266,2023-08-05,,,30m-probation,,
2024abcj178_231054545P1_2,cc_145(5),2023-11-06,,,30m-probation,,
2024abcj171_220534366P1_1,cc_380(1)(a),2024-08-16,729d,cso-consecutive,30m-probation,,
2024abcj122_220570824Y1_1,cc_271#b_ycja,,,,24m-probation,,
2024abcj166_211198080P1_1,cc_163.1(4),2024-07-29,6y,jail-consecutive,,,
2024abcj166_211198080P1_2,cc_163.1(4.1),2024-07-29,6y,jail-concurrent,,,
2024abcj165_230974032P1_1,cdsa_5(2),2023-10-01&2023-10-31,729d,csco-consecutive,2y-probation,,
2024abcj165_230974032P1_2,cc_95,2023-10-01&2023-10-31,729d,cso-concurrent,,,
2024abcj160_210473336P1_1,cc_86(2),2020-03-22,8y,jail-consecutive,,,
2024abcj160_210473336P1_2,cc_91(1),2020-03-22,8y,jail-concurrent,,,
2024abcj160_210473336P1_3,cc_244(2)(b),2020-03-22,8y,jail-concurrent,,,
2024abcj160_210473336P1_4,cc_87,2020-03-22,8y,jail-concurrent,,,
2024abcj160_210473336P1_5,cc_86(1),2020-03-22,8y,jail-concurrent,,,
2024abcj156_220950604P1_1,cc_163.1(2),2013-03-03&2022-08-08,18m,jail-consecutive,,,
2024abcj156_220950604P1_2,cc_163.1(2),2013-09-06&2015-07-15,30m,jail-consecutive,,,
2024abcj156_220950604P1_3,cc_163.1(4),2010-07-08&2022-08-18,12m,jail-consecutive,,,
2024abcj156_220950604P1_4,cc_151,2013-03-03&2022-08-18,75m,jail-consecutive,,,
2024abcj156_230023533P1_1,cc_151,2013-09-06&2015-07-30,45m,jail-consecutive,,,
2024abcj154_221030554P1_1,cc_151,2016-03-16&2022-10-20,10y,jail-consecutive,,,
2024abcj154_221030554P1_2,cc_163.1(2),2016-06-16&2022-10-20,3y,jail-consecutive,,,
2024abcj154_221030554P1_3,cc_163.1(4),2014-01-01&2022-10-20,1y,jail-consecutive,,,
2024abcj146_230854697P1_1,cc_266,2023-09-05,,,18m-discharge,,
2024abcj138_210397568P1_1,cc_163.1(4),2020-11-01&2021-01-31,1y,jail-concurrent,10y-ltso,,
2024abcj138_210397568P1_2,cc_163.1(2),2020-11-01&2021-01-31,2y,jail-consecutive,10y-ltso,,
2024abcj138_210397568P1_3,cc_172.1,2020-11-01&2021-01-31,2y,jail-concurrent,10y-ltso,,
2024abcj138_210397568P1_4,cc_171.1,2020-11-01&2021-01-31,2y,jail-concurrent,10y-ltso,,
2024abcj138_210397568P1_5,cc_172.1,2020-11-01&2021-01-31,3y,jail-consecutive,10y-ltso,,
2024abcj138_210397568P1_6,cc_271#b,2020-11-01&2021-01-31,7y,jail-consecutive,10y-ltso,,
2024abcj138_230270464P1_1,cc_172.1,2021-02-21,2y6m3d,jail-consecutive,10y-ltso,,
2024abcj138_230270464P1_2,cc_163.1(4),2021-02-21,1y,jail-concurrent,10y-ltso,,
