uid,offence,date,jail,mode,conditions,fine,appeal
2024bcpc230_252063-1_1,cc_266,2022-02-19,,,12m-probation,,
2024bcpc229_50288-1_1,cc_271#a,2023-07-08,12m,jail-consecutive,18m-probation,,
2024bcpc227_4284_1,cc_151,2021-11-03,1y,jail-consecutive,2y-probation,,
2024bcpc218_111360_1,cdsa_5(2),2022-06-26,24m,jail-consecutive,,,
2024bcpc218_111360_2,cdsa_5(2),2022-06-26,24m,jail-concurrent,,,
2024bcpc218_111360_3,cdsa_5(2),2022-06-26,24m,jail-concurrent,,,
2024bcpc212_24042-1_1,cc_320.14(3)#1,2021-09-06,6y,jail-consecutive,,,
2024bcpc205_186027-1_1,cc_380(1)(a),2018-01-01&2022-12-31,3y,jail-consecutive,,,
2024bcpc215_96441-1_1,cc_334(a),2016-01-12&2018-11-08,,,3y-probation,,
2024bcpc208_69578-1_1,cc344(1)(b),2019-12-10,3y,jail-consecutive,,,
2024bcpc208_69578-1_2,cc_85(2),2019-12-10,4m,jail-consecutive,,,
2024bcpc208_69578-1_3,cc_344(1)(b),2019-12-23,3y,jail-concurrent,,,
2024bcpc208_69578-1_4,cc_344(1)(b),2019-12-27,3y,jail-concurrent,,,
2024bcpc208_69578-1_5,cc_85(2),2019-12-27,4m,jail-consecutive,,,
2024bcpc208_69578-1_6,cc_344(1)(b),2019-12-29,3y,jail-concurrent,,,
2024bcpc208_69578-1_7,cc_85(2),2019-12-29,4m,jail-consecutive,,,
2024bcpc208_69578-1_8,cc_344(1)(b),2020-01-04,3y,jail-concurrent,,,
2024bcpc208_69578-1_9,cc_344(1)(b),2020-01-07,3y,jail-concurrent,,,
2024bcpc208_69578-1_10,cc_344(1)(b),2020-01-11,3y,jail-concurrent,,,
2024bcpc208_69578-1_11,cc_344(1)(b),2021-01-27,4y,jail-consecutive,,,
2024bcpc208_69578-1_12,cc_344(1)(b),2021-01-28,4y,jail-concurrent,,,
2024bcpc208_69578-1_13,cc_85(2),2020-01-28,4m,jail-consecutive,,,
2024bcpc208_69578-1_14,cc_88,2022-03-12,1y,jail-consecutive,,,
2024bcpc208_69578-1_15,cc_145(5),2022-03-12,6m,jail-concurrent,,,
2024bcpc183_263523-2-C_1,cc_236(b),2020-12-15,729d,cso-consecutive,3y-probation,,
2024bcpc172_68082-1_1,cc_85(1),2023-01-01&2023-05-14,60d,cso-consecutive,16m-probation,,
2024bcpc173_268799-2-C_1,cc_268,2023-06-07,2y,jail-consecutive,18m-probation,,
2024bcpc173_268799-2-C_1,cc_244.2(3)(b),2023-06-07,2y,jail-concurrent,18m-probation,,
2024bcpc163_87593-1K_1,cc_246(a),2020-04-21,3y,jail-consecutive,,,
2024bcpc163_87593-1K_2,cc_271#a,2020-04-21,26m,jail-consecutive,,,
2024bcpc163_87593-1K_3,cc_266,2020-04-21,4m,jail-concurrent,,,
2024bcpc163_87593-1K_4,cc_264.1(1)(a),2020-04-21,9m,jail-concurrent,,,
2024bcpc163_87593-1K_5,cc_279(2),2020-04-21,12m,jail-consecutive,,,
2024bcpc198_250476-2-C_1,cc_334(b),2021-02-25,,,2y-probation,,
2024bcpc198_250476-2-C_2,cc_334(a),2021-03-02,,,2y-probation,,
2024bcpc198_250476-2-C_3,cc_334(a),2021-07-12,,,2y-probation,,
2024bcpc198_250476-2-C_4,cc_334(a),2022-04-23,,,2y-probation,,
2024bcpc198_250476-2-C_5,cc_334(a),2022-06-19,,,2y-probation,,
2024bcpc198_250476-2-C_6,cc_334(a),2022-08-24,,,2y-probation,,
2024bcpc155_23182_1,cc_271#a,2021-11-01,,,3y-probation,,
2024bcpc155_23182_2,cc_271#a,2021-11-01,,,3y-probation,,
2024bcpc145_56683-1_1,cc_267(a),2022-08-26,8m,cso-consecutive,12m-probation,,
2024bcpc145_56683-1_2,cc_320.13(1),2022-08-26,8m,cso-concurrent,12m-probation,,
2024bcpc144_264052-2-C_1,cc_236(b),2020-11-29,4y,jail-consecutive,,,
2024bcpc144_264052-2-C_2,cc_91(1),2020-11-29,6m,jail-consecutive,,,
2024bcpc144_264052-2-C_3,cc_87,2020-11-29,6m,jail-concurrent,,,
2024bcpc144_264052-2-C_4,cc_86(1),2020-11-29,6m,jail-concurrent,,,
2024bcpc152+113998_1,cc_333.1(1)#1,2023-09-07,90d,jail-intermittent,,,
2024bcpc152_114199_1,cc_333.1(1)#1,2023-10-04,90d,jail-intermittent,,,
2024bcpc151_102816-7A_1,cc_344(1)(a)#1,2019-10-18,42m,jail-consecutive,,,
2024bcpc151_102816-7A_2,cc_95,2019-10-18,30m,jail-concurrent,,,
2024bcpc151_102816-7A_3,cdsa_5(2),2019-10-18,6m,jail-consecutive,,,
2024bcpc151_102816-3C_1,cc_145(5),2024-03-13&2024-04-09,1d,jail-concurrent,,,
2024bcpc146_67827-1_1,cc_334(a),2017-02-15&2022-01-15,2y,jail-consecutive,,,
2024bcpc150_266312-1_1,cc_182,2016-10-15,729d,jail-consecutive,3y-probation,,
2024bcpc130_264781-1_1,cc_151,2019-09-14&2019-10-14,2y6m,jail-consecutive,,,
2024bcpc114_56584-1_1,cdsa_5(2),2021-06-30,4y,jail-consecutive,,,
2024bcpc114_56584-1_2,cc_95,2021-06-30,3y,jail-concurrent,,,
2024bcpc114_51978-1_1,cc_117.01,2021-06-30,1y,jail-concurrent,,,
2024bcpc114_51994-1_1,cc_355(a),2022-09-22,18m,jail-consecutive,,,
2024bcpc114_51994-1_2,cc_270.01,2022-09-22,23m,jail-consecutive,,,
2024bcpc114_51994-1_3,cc_320.13(1),2022-09-22,1y,jail-consecutive,,,
2024bcpc114_55770-2-KB_1,cc_733.1,2022-09-24,30d,jail-consecutive,,,
2024bcpc114_56678-1_1,cc_333.1(1)#1,2022-09-26,6m,jail-consecutive,,,
2024bcpc114_56678-1_2,cc_270.01,2022-09-26,12m,jail-consecutive,,,
2024bcpc102_105332-1K_1,cc_271#a,2020-10-14,729d,jail-consecutive,,,
2024bcpc142_98882-1_1,cc_271#a,2021-07-01&2021-07-31,3y,jail-consecutive,,,
2024bcpc142_98882-1_2,cc_163.1(2),2021-07-01&2021-07-31,2y,jail-consecutive,,,
2024bcpc112_5448-2-C_1,cc_266_ycja,2023-09-19,,,1y-probation,,
2024bcpc99_56139-2_1,cc_267(b),2022-08-03,12m,cso-consecutive,,,
2024bcpc99_57372-2-C_2,cc_266,2023-09-28,12m,cso-concurrent,,,
2024bcpc10525821-1_1,cc_271#b,2022-03-04&2022-04-04,729d,cso-consecutive,3y-probation,,
2024bcpc174_93569-2C_1,cc_344(1)(b),2021-06-02,729d,cso-consecutive,3y-probation,,
2024bcpc174_93569-2C_1,cc_87,2021-06-02,729d,cso-concurrent,3y-probation,,
2024bcpc92_249893-1_1,cc_268,2022-01-29,3y,jail-concurrent,,,
2024bcpc92_249893-1_2,cc_244.2(3)(a)#1,2022-01-29,7y,jail-consecutive,,,
2024bcpc92_249893-1_3,cc_264.1(1)(a),2022-01-29,1y,jail-consecutive,,,
2024bcpc88_17749-1_1,cc_91(1),2020-04-02,30m,jail-consecutive,,,
2024bcpc88_17749-1_2,cc_91(1),2020-04-02,30m,jail-concurrent,,,
2024bcpc88_17749-1_3,cc_95,2020-04-02,30m,jail-concurrent,,,
2024bcpc88_17749-1_4,cc_91(1),2020-04-02,30m,jail-concurrent,,,
2024bcpc88_17850_1,cc_117.01,2020-04-02,9m,jail-concurrent,,,
2024bcpc88_238117-1_1,cdsa_5(2),2020-05-02,18m,jail-consecutive,,,
2024bcpc100_267546-1_1,cc_753.3,2022-11-10,9m,jail-consecutive,,,
2024bcpc100_267546-2-A_1,cc_753.3,2023-11-04&2023-11-06,20m,jail-consecutive,,,
2024bcpc100_270715-1_1,cc_145(2),2022-11-10,6m,jail-concurrent,,,
2024bcpc87_68824-1_1,cc_271#a,2020-12-15,2y,jail-consecutive,,,
2024bcpc82_42164-1_1,cc_271#b,2024-05-16,729d,jail-consecutive,,,
2024bcpc84_78185_1,cc_271#a,2010-04-01&2010-10-31,indeterminate,jail-consecutive,,,
2024bcpc84_78185_2,cc_271#b,2010-04-01&2010-10-31,indeterminate,jail-consecutive,,,
2024bcpc94_83596-2C_1,cc_279(2),2021-07-24,10y,jail-consecutive,10y-ltso,,
2024bcpc86_105278-C_1,cc_244.2(3)(b),2020-12-24,4y6m3d,jail-consecutive,,,
2024bcpc86_105278-C_2,cc_348(1)(d),2020-12-24,20m,jail-concurrent,,,
2024bcpc86_105278-C_3,cc_264.1(1)(a),2020-12-24,6m,jail-concurrent,,,
2024bcpc86_105278-C_4,cc_264.1(1)(a),2020-12-24,6m,jail-concurrent,,,
2024bcpc86_105278-C_5,cc_92(1),2020-12-24,6m,jail-consecutive,,,
2024bcpc65_263546-1_1,cc_271#a,2023-05-15,12m,jail-consecutive,2y-probation,,
2024bcpc73_57259-1_1,cc_320.18,2023-06-15,45d,jail-concurrent,,,
2024bcpc73_57397-1_1,cc_320.18,2023-09-21,90d,jail-concurrent,,,
2024bcpc73_57417-2-C_1,cc_320.18,2023-10-26,135d,jail-concurrent,,,
2024bcpc73_57417-2-C_2,bcmva_95(1),2023-10-26,,,,$500,
2024bcpc73_57689-2-C_1,bcmva_234(1),2024-02-25,180d,jail-consecutive,,,
2024bcpc63_94528-1K_1,cc_266,2019-01-01&2019-12-31,,,18m-probation,,
2024bcpc63_94528-1K_2,cc_264(1)(a),2021-12-13,,,18m-probation,,
2024bcpc63_94528-2-KA_1,cc_145(5),2022-02-14,,,18m-probation,,
2024bcpc69_30900-1_1,cc_271#a,2020-09-11,729d,cso-consecutive,3y-probation,,
2024bcpc60_65410-1_1,cc_95,2021-02-28,30m,jail-consecutive,,,
2024bcpc52_25939_1,cc_271#a,2020-04-19,18m,cso-consecutive,30m-probation,,
2024bcpc53_36502-1-T_1,cc_151,2021-09-01&2021-09-09,2920d,jail-consecutive,,,
2024bcpc53_36504-1-T_1,cc_733.1,2021-09-01&2021-09-09,90d,jail-concurrent,,,
2024bcpc53_36504-1-T_2,cdsa_4(1),2021-09-01&2021-09-09,90d,jail-concurrent,,,
2024bcpc53_36504-2-T_1,cc_145(5),2021-09-01&2021-09-09,90d,jail-concurrent,,,
2024bcpc53_49808-1-T_1,cc_355(a),2021-09-01&2021-09-09,60d,jail-consecutive,,,
2024bcpc53_49808-1-T_2,cc_320.17,2021-09-01&2021-09-09,180d,jail-consecutive,,,
2024bcpc53_49808-1-T_3,cc_320.13(1),2021-09-01&2021-09-09,180d,jail-concurrent,,,
2024bcpc53_35637-2-C_1,cc_320.17,2021-09-01&2021-09-09,600d,jail-concurrent,,,
2024bcpc53_35637-2-C_2,cc_320.13(1),2021-09-01&2021-09-09,600d,jail-consecutive,,,
2024bcpc43_262298-5-C_1,cc_348(1)(d),2020-09-23,7y,jail-consecutive,,,
2024bcpc43_262298-5-C_2,cc_344(1)(b),2020-09-23,3.5y,jail-concurrent,,,
2024bcpc43_262298-5-C_3,cc_344(1)(b),2020-09-23,3.5y,jail-concurrent,,,
2024bcpc43_262298-5-C_4,cc_268,2020-09-23,3.5y,jail-concurrent,,,
2024bcpc43_262298-5-C_5,cc_268,2020-09-23,3.5y,jail-concurrent,,,
2024bcpc43_262298-5-C_6,cc_85(2),2020-09-23,1y,jail-consecutive,,,
2024bcpc43_262298-5-C_7,cc_88,2020-09-23,4y,jail-concurrent,,,
2024bcpc43_262298-5-C_8,cc_351(2),2020-09-23,3y,jail-concurrent,,,
2024bcpc32_108438-2KC_1,cc_261.1(1)(a),2022-03-06,3y,jail-consecutive,30m-probation,,
2024bcpc32_107495-1K_1,cc_433,2022-10-07,14d,jail-concurrent,30m-probation,,
2024bcpc37_88744-1_1,cc_91(1),2012-03-01&2022-03-31,1y,jail-consecutive,,,
2024bcpc37_88744-1_1,cc_91(2),2012-03-01&2022-03-31,6m,jail-concurrent,,,
2024bcpc28_5260_1,cc_151_ycja,2018-08-01&2019-01-31,180d,jail-consecutive,2y-probation,,
2024bcpc77_78721_1,cc_430(4),2023-08-09,60d,jail-consecutive,,,
2024bcpc64_264145-1-K_1,cc_271#a,2020-07-29,729d,cso-consecutive,1y-probation,,
2024bcpc33_71048-1_1,cc430(4),2023-04-21&2023-04-24,,,1y-discharge,,
2024bcpc33_70676-1_1,cc430(4),2023-05-23,,,2y-probation,,
2024bcpc29_30971-2_1,cc_163.1(2),2020-10-01&2021-03-31,729d,cso-consecutive,3y-probation,,
2024bcpc29_30971-2_2,cc_163.1(4),2020-10-01&2021-03-31,729d,cso-consecutive,3y-probation,,
2024bcpc20_98121-3-C_1,cc_151,2020-11-01&2022-06-25,5y,jail-consecutive,,,
2024bcpc20_98121-3-C_2,cc_152,2020-11-01&2022-06-25,5y,jail-concurrent,,,
2024bcpc20_98121-3-C_3,cc_163.1(2),2020-11-01&2022-06-25,3y,jail-consecutive,,,
2024bcpc14_261952-1_1,cc_95,2021-03-28,30m,jail-consecutive,,,
2024bcpc13_95647-2C_1,cc_733.1,2022-10-03,30d,jail-concurrent,2y-probation,,
2024bcpc13_94419-2B_1,cc_268,2022-10-04,1095d,jail-consecutive,,,
2024bcpc15_74085-1_1,cdsa_5(2),2020-10-03&2021-01-13,3y,jail-consecutive,,,
2024bcpc27_37605-1_1,cc_279(2),2019-07-28,1y,jail-concurrent,,,
2024bcpc27_37605-1_2,cc_268,2019-07-28,2y,jail-concurrent,,,
2024bcpc27_37605-1_3,cc_348(1)(d),2019-07-28,6y,jail-consecutive,,,
2024bcpc27_37605-1_4,cc_264.1(1)(a),2019-07-28,1y,jail-concurrent,,,
2024bcpc56_35291-1_1,cc_320.16(2)#1,2024-01-03,12m,cso-consecutive,,,
2024bcpc56_35291-1_2,cc_320.13(2)#1,2024-01-03,12m,cso-concurrent,,,
2024bcpc56_35291-1_3,cc_320.16(2)#1,2024-01-03,12m,cso-concurrent,,,
2024bcpc56_35291-1_4,cc_320.13(2)#1,2024-01-03,12m,cso-concurrent,,,
