uid,offence,date,jail,mode,conditions,fine,appeal
2024nspc50_8673797_1,cc_268_ycja,2023-03-20,,12m-probation,,,
2024nspc50_8673798_1,cc_268_ycja,2023-03-20,,12m-probation,,,
2024nspc45_8678591_1,cc_344(1)(b),2023-04-07,365d,jail-consecutive,20m-probation,,
2024nspc45_8678592_1,cc_129,2023-04-07,5d,jail-consecutive,20m-probation,,
2024nspc45_8678597_1,cc_733.1,2023-04-07,10d,jail-consecutive,20m-probation,,
2024nspc45_8679598_1,cc_145(5),2023-04-07,10d,jail-consecutive,20m-probation,,
2024nspc43_8645271_1,cc_239(1)(b),2022-12-02,12m,jail-consecutive,12m-ircs,,
2024nspc43_8645272_1,cc_267(b),2022-12-02,,,12m-probation,,
2024nspc43_8645276_1,ycja_137,2022-12-02,,,12m-probation,,
2024nspc42_8538040_1,cc_271#a,2014-01-01&2015-06-01,3y,jail-consecutive,,,
2024nspc42_8538041_1,cc_162(1),2014-01-01&2015-06-01,6m,jail-concurrent,,,
2024nspc42_8538045_1,cc_271#a,2016-01-01&2019-03-30,3y,jail-consecutive,,,
2024nspc42_8538046_1,cc_162(1),2016-01-01&2019-03-30,6m,jail-concurrent,,,
2024nspc44_8245368_1,cc_255(2.1),2018-06-10,22m,cso-consecutive,12m-probation,,
2024nspc27_8605225_1,cc_271#b,2008-01-01&2014-01-01,24m,jail-consecutive,24m-probation,,
2024nspc31_8544988_1,cc_267(a),2022-02-07,,,3y-probation,,
2024nspc31_8544989_1,cc_267(b),2022-02-07,,,3y-probation,,
2024nspc31_8544991_1,cc_88,2022-02-07,,,3y-probation,,
2024nspc31_8544993_1,cc_279(2),2022-02-07,,,3y-probation,,
2024nspc31_8544994_1,cc_279(2),2022-02-07,,,3y-probation,,
2024nspc31_8544997_1,cc_334,2022-02-07,1d,jail-consecutive,,,
2024nspc31_8544998_1,cc_430(4),2022-02-07,1d,jail-concurrent,,,
2024nspc17_8521357_1,cc_163.1(2),2021-01-14&2021-01-23,12m,jail-consecutive,,,
2024nspc17_8521357_2,cc_172.2,2021-01-14&2021-01-23,12m,jail-consecutive,,,
2024nspc34_8585645_1,cc_172.1,2022-01-01&2022-02-07,6m,jail-consecutive,,,
2024nspc34_8585646_1,cc_172.1,2022-01-01&2022-02-07,2y,jail-consecutive,,,
2024nspc34_8585647_1,cc_286.1(1)(a)(i)#1,2021-12-29&2022-01-23,,,,1000,
2024nspc34_8585649_1,cc_286.1(1)(a)(i)#1,2020-01-01&2022-01-01,,,,2000,
2024nspc34_8585651_1,cc_286.1(2)#1,2022-01-01&2022-02-07,2y,jail-consecutive,,,
2024nspc34_8585651_2,cc_145(4),2022-01-01&2022-02-07,6m,jail-consecutive,3y-probation,,
2024nspc10_8641793_1,cc_320.14(2)#1,2022-07-24,2y,jail-consecutive,3y-probation,,
2024nspc10_8641794_1,cc_320.14(2)#1,2022-07-24,1y,jail-concurrent,3y-probation,,
2024nspc10_8641795_1,cc_320.14(2)#1,2022-07-24,1y,jail-concurrent,3y-probation,,
2024nspc10_8641796_1,cc_320.14(2)#1,2022-07-24,1y,jail-concurrent,3y-probation,,
2024nspc10_8641797_1,cc_320.14(2)#1,2022-07-24,1y,jail-concurrent,3y-probation,,
2024nspc10_8641798_1,cc_320.14(2)#1,2022-07-24,1y,jail-concurrent,3y-probation,,
2024nspc14_8510885_1,cdsa_5(1),2020-03-01&2021-01-08,2y&6m&3d,jail-consecutive,,,
2024nspc14_8510902_1,cdsa_5(2),2020-12-09,18m,jail-concurrent,,,
2024nspc14_8510905_1,cc_355(a),2020-12-09,6m,jail-consecutive,,,
2024nspc14_8510993_1,cc_95,2020-12-09,1y,jail-consecutive,,,
2024nspc9_8489984_1,cc_171.1,2019-09-20&2019-12-21,12m,jail-consecutive,2y-probation,,
2023canlii130727_8658657_1,cc_380(1)(b),2021-09-08&2022-07-26,3m,cso-consecutive,12m-probation,,
2024nspc5_8549248_1,cc_271#a,2021-01-01&2021-10-01,729d,cso-consecutive,30m-probation,,
2024nspc4_8428472_1,cc_163.1(4),2018-08-29&2018-12-14,18m,jail-consecutive,18m-probation,,
2024nspc4_8428473_1,cc_172.1,2018-08-29&2018-12-14,18m,jail-concurrent,18m-probation,,
2024nspc4_8428474_1,cc_171.1,2018-08-29&2018-12-14,18m,jail-concurrent,18m-probation,,
