uid,offence,date,jail,mode,conditions,fine,appeal
2024oncj654_Halton-998-23-12103241_1,cc_333.1(1)#1,2023-09-16,18m,cso-consecutive,,,
2024oncj649_24-47101355_1,cdsa_5(2),2024-02-15,,,2y-discharge,,
2024oncj649_47101355_2,cc_355(b),2024-02-15,,,2y-discharge,,
2024oncj648_4810-998-21-35004550_1,cc_271#a,2021-12-25,2372d,jail-consecutive,,,
2024oncj648_4810-998-21-35004550_1,cc_349,2021-12-25,2y,jail-concurrent,,,
2024oncj648_4810-998-21-35004550_1,cc_279(2),2021-12-25,18m,jail-concurrent,,,
2024oncj647_21-28100763_1,cc_320.14(1)#s,2021-04-21,66m,jail-consecutive,,,
2024oncj647_21-28100763_2,320.18,2021-04-21,48m,jail-concurrent,,,
2024oncj647_22-28104304_1,cc_320.18,2021-08-21,54m,jail-consecutive,,,
2024oncj647_22-28104304_2,cc_145(5),2021-08-21,12m,jail-concurrent,,,
2024oncj647_22-28101227_1,cc_145(5),2022-01-29,12m,jail-concurrent,,,
2024oncj647_22-28101227_2,cc_320.18,2022-01-29,48m,jail-concurrent,,,
2024oncj647_22-28101227_3,cc_320.14(1)#s,2022-01-29,60m,jail-concurrent,,,
2024oncj647_23-28100064_1,cc_145(5),2023-03-05,12m,jail-concurrent,,,
2024oncj647_23-28100064_2,cc_320.18,2023-03-05,36m,jail-concurrent,,,
2024oncj647_23-28108447_1,cc_145(5),2023-11-18,12m,jail-concurrent,,,
2024oncj647_23-28108447_2,cc_320.18,2023-11-18,48m,jail-concurrent,,,
2024oncj620_1,cc_145(5),2023-11-03,,,12m-discharge,,,
2024oncj608_24-91100429_1,cc_344(1)(b),2023-07-07,5y,jail-concurrent,,,
2024oncj608_23-91105820_1,cc_344(1)(b),2024-01-11,5y,jail-consecutive,,,
2024oncj600_22-31101494_1,cc_151,2022-06-01,15m,jail-consecutive,,,
2024oncj600_22-31101494_2,cc_152,2022-06-01,15m,jail-concurrent,,,
2024oncj587_23-48101990_1,cc_344(1)(b),2023-02-13,2y6m3d,jail-concurrent,,,
2024oncj587_23-48101991_1,cc_267(a),2023-03-31,18m,jail-concurrent,,,
2024oncj587_23-48101991_2,cc_344(1)(b),2023-03-31,12m,jail-concurrent,,,
2024oncj587_23-48101991_3,cc_733.1,2023-03-31,2m,jail-concurrent,,,
2024oncj587_23-48103944_1,cc_344(1)(b),2023-04-28,4y,jail-concurrent,,,
2024oncj587_23-48107883_1,cc_463(a),2023-04-29,2y,jail-concurrent,,,
2024oncj587_23-48107883_2,cc_268,2023-04-29,1821d,jail-consecutive,,,
2024oncj587_23-48107883_3,cc_348(1)(d),2023-04-29,5y,jail-concurrent,,,
2024oncj587_23-48103940_1,cc_334(b),2023-04-29,2m,jail-concurrent,,,
2024oncj587_23-48113432_1,cc_271#a,2023-08-03,18m,jail-concurrent,,,
2024oncj584_998-22-S2003_1,cdsa_5(2),2020-04-25,729d,cso-consecutive,,,
2024oncj584_998-22-S2003_2,cc_355(b),2020-04-25,729d,cso-concurrent,,,
2024oncj590_21-10840_1,cc_163.1(4),2021-06-17,6m,cso-consecutive,18m-probation,,
2024oncj572_23-48120329_1,cc_151,2022-04-20,7y6m3d,jail-consecutive,,,
2024oncj572_23-48120329_2,cc_151,2022-04-20,4y6m3d,jail-concurrent,,,
2024oncj572_23-48120329_3,cc_151,2022-04-20,3y,jail-concurrent,,,
2024oncj572_23-48120329_4,cc_152,2022-04-20,2y,jail-concurrent,,,
2024oncj572_23-48120329_5,cc_145(5),2022-04-21,20d,jail-concurrent,,,
2024oncj549_22-37200089-01_1,cdsa_5(2),2022-07-29,729d,cso-consecutive,3y-probation,,
2024oncj549_22-37200089-01_2,cdsa_5(2),2022-07-29,729d,cso-concurrent,3y-probation,,
2024oncj539_3811-998-23-38100237_1,cc_215,2021-12-01&2022-11-30,729d,cso-consecutive,,
2024oncj539_3811-998-23-38100237_2,cc_267(a),2021-12-01&2022-11-30,729d,cso-concurrent,
2024oncj538_21-4603_1,cc_163.1(4),2021-05-04,3y6m3d,jail-consecutive,,,
2024oncj538_22-10005097_1,cc_162(1),2022-08-27,6m,jail-consecutive,,,
