uid,offence,date,jail,mode,conditions,fine,appeal
2024nbpc4_11967705_1,cc_320.14(2)#1,2023-04-16,550d,jail-consecutive,18m-probation,,
2024nbpc4_11967705_2,cc_320.16(2)#1,2023-04-16,180d,jail-concurrent,18m-probation,,
2024nbpc4_12110005_1,cc_145(5),2023-08-19,20d,jail-consecutive,18m-probation,,
2024nbpc4_12110105_1,cc_145(5),2023-09-22,20d,jail-consecutive,18m-probation,,
2024nbpc4_12110105_2,cc_320.18,2023-09-22,20d,jail-consecutive,18m-probation,,
2024nbpc4_12110105_3,nbmva_345,2023-09-22,10d,jail-concurrent,18m-probation,,
2024nbpc4_12110205_1,cc_145(5),2023-10-05,20d,jail-concurrent,18m-probation,,
2024nbpc4_12110205_2,nbmva_345,2023-10-05,10d,jail-concurrent,18m-probation,,
2024nbpc4_12109605_1,cc_145(5),2023-10-06,20d,jail-concurrent,18m-probation,,
2024nbpc4_12109605_2,nbmva_345,2023-10-06,10d,jail-concurrent,18m-probation,,
2024nbpc3_12035305_1,cc_163.1(4),2022-02-25,2y,jail-consecutive,,,
2024nbpc5_11936405_1,cc_271#a,2023-01-13,90d,cso-consecutive,12m-probation,,
2024nbpc8_1,cc_272(2)(a)#1,2023-06-02,12y,jail-consecutive,,,
2024nbpc8_2,cc_272(2)(a)#1,2023-06-02,12y,jail-concurrent,,,
2024nbpc8_3,cc_272(2)(a)#1,2023-06-02,12y,jail-concurrent,,,
2024nbpc8_4,cc_245(1)(a),2023-06-02,2y,jail-concurrent,,,
2024nbpc8_5,cc_246(b),2023-06-02,10y,jail-concurrent,,,
2024nbpc8_6,cc_162(1),2023-06-02,3y,jail-concurrent,,,
2024nbpc8_7,cc_266,2023-06-02,3y,jail-concurrent,,,
2024nbpc8_8,cc_271#a,2023-06-02,8y,jail-concurrent,,,
2024nbpc8_9,cc_162.1,2023-06-02,3y,jail-concurrent,,,
2024nbpc8_10,cc_162.1,2023-09-01&2023-09-30,6m,jail-concurrent,,,
2024nbpc8_11,cc_271#a,2023-09-01&2023-09-30,2y,jail-consecutive,,,
2024nbpc8_12,cc_162(1),2006-01-01&2010-12-31,1y,jail-concurrent,,,
2024nbpc8_13,cc_163.1(4),2023-06-29,2y,jail-consecutive,,,
