uid,offence,date,jail,mode,conditions,fine,appeal
2024canlii124075_1324A00092_1,cc_266,2024-02-09,6m,jail-consecutive,,,
2024canlii124075_1324A00092_2,cc_145(5),2024-03-09,3m,jail-consecutive,,,
2024canlii120498_1423A00398_1,cc_490.031,2023-04-20&2023-05-20,3m,jail-consecutive,,,
2024canlii120498_1423A00398_2,cc_490.031,2023-06-14&2024-06-20,3m,jail-concurrent,,,
2024canlii111254_1023A00269_1,cc_86(2),2023-07-26,,,,$500,
2024canlii106397_1020A00067_1,cdsa_5(1),2019-11-22,8m,cso-consecutive,12m-probation,,
2024canlii87564_0122A02829_1,cc_271#a,2022-09-04,10m,jail-consecutive,12m-probation,,
2024canlii83099_0122A00373_1,cc_334(b),2022-01-14,20d,jail-consecutive,,,
2024canlii83099_0122A01623_1,cc_334(b),2022-05-15,20d,jail-consecutive,,,
2024canlii83099_0122A01967_1,cc_344(1)(b),2022-05-26,1080d,jail-consecutive,,,
2024canlii83099_0122A03013_1,cc_334(b),2022-07-10,30d,jail-consecutive,,,
2024canlii83099_0122A03489_1,cc_334(b),2022-06-11,20d,jail-consecutive,,,
2024canlii83099_0122A03572_1,cc_334(b),2022-09-23,15d,jail-concurrent,,,
2024canlii83099_0122A03572_2,cc_266,2022-09-23,30d,jail-consecutive,,,
2024canlii83099_0122A03572_3,cc_145(5),2022-09-23,15d,jail-consecutive,,,
2024canlii83099_0122A03626_1,cc_334(b),2022-08-12,15d,jail-consecutive,,,
2024canlii83099_0122A03626_2,cc_145(5),2022-08-12,30d,jail-consecutive,,,
2024canlii83099_0122A03627_1,cc_380(1)(b),2022-09-22,30d,jail-consecutive,,,
2024canlii83099_0122A03627_2,cc_355(b),2022-09-22,30d,jail-consecutive,,,
2024canlii83099_0122A00013_1,cc_430(4),2022-12-28,15d,jail-consecutive,,,
2024canlii83099_0122A00013_2,cc_145(5),2022-12-28,30d,jail-consecutive,,,
2024canlii83099_0123A00680_1,cc_334(b),2022-10-22,15d,jail-consecutive,,,
2024canlii83099_0123A00680_2,cc_145(5),2022-10-22,30d,jail-consecutive,,,
2024canlii83099_0123A00978_1,cc_334(b),2022-09-27,15d,jail-consecutive,,,
2024canlii83099_0123A00978_2,cc_145(5),2022-09-27,30d,jail-consecutive,,,
