uid,offence,date,jail,mode,conditions,fine,appeal
2024nucj32_08-22-67_1,cc_271#b,2024-11-12,3y6m3d,jail-consecutive,,,
2024nucj32_08-22-67_2,cc_271#b,2024-11-12,3y,jail-consecutive,,,
2024nucj32_08-22-67_3,cc_271#b,2024-11-12,2y,jail-consecutive,,,
2024nucj32_08-22-67_4,cc_271#b,2024-11-12,3y6m2d,jail-consecutive,,,
2024nucj25_15-22-72_1,cc_271#a,2022-10-08,540d,jail-consecutive,,,
2024nucj25_15-22-72_2,cc_264,2022-10-08,365d,jail-consecutive,,,
2024nucj19_08-24-50-1_1,cc_380(1)(a),2016-02-23&2023-03-31,36m,jail-consecutive,,,
2024nucj20_08-21-535-1_1,cc_271#a,2008-01-01&2008-12-31,1195d,jail-consecutive,,,
2024nucj20_08-21-535-1_2,cc_271#a,2021-01-01&2021-12-31,1195d,jail-consecutive,,,
2024nucj20_08-21-535-1_3,cc_271#a,2021-01-01&2021-12-31,895d,jail-consecutive,,,
2024canlii43188_08-20-463_1,cc_348(1)(d),2020-09-09,7y,jail-consecutive,,
2024nucj10_15-23-99_1,cc_271#a,2023-09-06,720d,jail-consecutive,12m-probation,,
2024nucj7_08-20-80_1,cc_239(1)(b),2020-02-09,10y,jail-consecutive,,,
2024nucj7_08-20-80_1,cc_279(2),2020-02-09,2y,jail-consecutive,,,
2024nucj5_10-19-36_1,cc_268,2019-01-19,3156d,jail-consecutive,5y-ltso,,
2024nucj5_10-19-40_1,cc_267(a),2018-12-16,3156d,jail-concurrent,5y-ltso,,
2024nucj5_10-19-40_2,cc_267(b),2018-12-16,3156d,jail-concurrent,5y-ltso,,
2024nucj5_10-19-40_3,cc_733.1,2018-12-16,3156d,jail-concurrent,5y-ltso,,
2024nucj5_10-19-41_1,cc_271#b,2019-03-08,3156d,jail-concurrent,5y-ltso,,
2024nucj5_10-19-41_2,cc_270.1,2019-03-08,3156d,jail-concurrent,5y-ltso,,
2024nucj5_10-19-41_3,cc_349,2019-03-08,3156d,jail-concurrent,5y-ltso,,
2024nucj5_08-19-559_1,cc_270(1),2019-08-06,3156d,jail-concurrent,5y-ltso,,
