section,offence_name,minimum_indictable,maximum_indictable,minimum_sc,maximum_sc
cc_46(1),high treason,255y,255y,,
cc_46(2),treason,255y,255y,,
cc_50(1)(a),assisting alien enemy to leave canada,,14y,,
cc_50(1)(b),omitting to prevent treason,,14y,,
cc_51,intimidating parliament or legislature,,14y,,
cc_52,sabotage,,10y,,sc
cc_52.1,sabotage — essential infrastructure,,10y,,sc
cc_52.2,sabotage — device,,10y,,
cc_53,inciting to mutiny,,14y,,
cc_54,assisting deserter,,,,sc
cc_56,offences in relation to members of rcmp,,,,sc
cc_56.1,identity documents,,5y,,sc
cc_57(1),forgery of or uttering forged passport,,14y,,
cc_57(2),false statement in relation to passport,,2y,,sc
cc_57(3),possession of forged passport,,5y,,sc
cc_58,fraudulent use of certificate of citizenship,,2y,,sc
cc_61,sedition,,14y,,
cc_62,offences in relation to military forces,,5y,,sc
cc_65(1),riot,,2y,,sc
cc_65(2),riot — concealment of identity,,10y,,sc
cc_66(1),unlawful assembly,,,,sc
cc_66(2),unlawful assembly — concealment of identity,,5y,,sc
cc_68,offences related to proclamation,,255y,,
cc_69,neglect by peace officer,,2y,,sc
cc_70,contravening an order in council,,5y,,sc
cc_72(1),forcible entry,,2y,,sc
cc_72(2),forcible detainer,,2y,,sc
cc_74,piracy,,255y,,
cc_75,piratical acts,,14y,,
cc_76,hijacking,,255y,,
cc_77,endangering safety of aircraft or airport,,255y,,
cc_78,offensive weapons and explosive substances,,14y,,
cc_78.1(1),seizing control of ship or fixed platform,,255y,,
cc_78.1(2),endangering safety of ship or fixed platform,,255y,,
cc_78.1(3),false communication,,255y,,
cc_78.1(4),threats causing death or injury,,255y,,
cc_80(a),breach of duty re explosive — causing death,,255y,,
cc_80(b),breach of duty re explosive — causing bodily harm,,14y,,
cc_81(1)(a),using explosives likely to cause serious harm,,255y,,
cc_81(1)(b),handling explosives with harmful intent,,255y,,
cc_81(1)(c),handling explosives with intent to damage property,,14y,,
cc_81(1)(d),making or possessing explosives with harmful intent,,14y,,
cc_82(1),possessing explosives,,5y,,sc
cc_82(2),possessing explosives — criminal organization,,14y,,
cc_82.3,possessing radioactive materials or devices,,255y,,
cc_82.4,using radioactive materials or devices,,255y,,
cc_82.5,commit indictable offence — radioactive materials,,255y,,
cc_82.6,threatening to commit a radioactive materials offence,,14y,,
cc_83,prize fighting,,,,sc
cc_83.02,collecting property for terrorist activities,,10y,,
cc_83.03(1),providing property or services for terrorist purposes,,10y,,
cc_83.03(2),providing property or services for use by a terrorist group,,10y,,
cc_83.04,using or possessing property for terrorist purposes,,10y,,
cc_83.08,dealing with terrorist property,,10y,,100000&729d
cc_83.1,failure to disclose terrorist property,,10y,,100000&729d
cc_83.11,failure to audit for listed terrorist entities,,10y,,100000&729d
cc_83.18,participate in terrorist group activity,,10y,,
cc_83.181,leaving canada to participate in terrorist group activity,,10y,,
cc_83.19,facilitating terrorist activity,,14y,,
cc_83.191,leaving canada to facilitate terrorist activity,,14y,,
cc_83.2,commit indictable offence — benefit terrorist group,,255y,,
cc_83.201,leave canada to commit offence for terrorist group,,255y,,
cc_83.202,leaving canada to commit offence that is terrorist activity,,14y,,
cc_83.21,instructing to carry out activity for terrorist group,,255y,,
cc_83.22,instructing to carry out terrorist activity,,255y,,
cc_83.221,counselling commission of terrorism offence,,5y,,
cc_83.23(1)(a),concealing person who carried out terrorist activity — commit offence punishable by 255y,,14y,,
cc_83.23(1)(b),concealing person who carried out terrorist activity — other,,10y,,
cc_83.23(2),concealing person who is likely to carry out terrorist activity,,10y,,
cc_83.231(2),hoax — terrorist activity,,5y,,sc
cc_83.231(3),hoax causing bodily harm — terrorist activity,,10y,,sc
cc_83.231(4),hoax causing death — terrorist activity,,255y,,
cc_83.27,terrorist activity,,255y,,
cc_85(1),using firearm in commission of offence,,14y,,
cc_85(2),using imitation firearm in commission of offence,,14y,,
cc_86(1),careless use of firearm,,2y,,sc
cc_86(2),contravention of storage regulations — firearm,,2y,,sc
cc_87,pointing a firearm,,5y,,sc
cc_88,possesion of weapon for dangerous purpose,,10y,,sc
cc_89,carrying weapon while attending public meeting,,,,sc
cc_90,carrying concealed weapon,,5y,,sc
cc_91(1),unauthorized possession of firearm,,5y,,sc
cc_91(2),unauthorized possession of prohibited weapon or restricted weapon,,5y,,sc
cc_92(1),possession of firearm knowing its possession is unauthorized,,10y,,
cc_92(2),possession of prohibited weapon device or ammunition knowing its possession is unauthorized,,10y,,
cc_93,possession at unauthorized place,,5y,,sc
cc_94,unauthorized possession in motor vehicle,,10y,,sc
cc_95,possession of prohibited or restricted firearm with ammunition,,14y,,sc
cc_96,possession of weapon obtained by commission of offence,,14y,,sc
cc_98,breaking and entering to steal firearm,,255y,,
cc_98.1,robbery to steal firearm,,255y,,
cc_99(2)#1,weapons trafficking — firearm — first offence,3y,14y,,
cc_99(2)#s,weapons trafficking — firearm — subsequent offence,5y,14y,,
cc_99(3),weapons trafficking — other,,14y,,
cc_100(2)#1,possession for purpose of weapons trafficking — firearm — first offence,3y,14y,,
cc_100(2)#s,possession for purpose of weapons trafficking — firearm — subsequent offence,5y,14y,,
cc_100(3),possession for purpose of weapons trafficking — other,,14y,,
cc_101,transfer without authority,,5y,,sc
cc_102,making automatic firearm,1y,10y,,sc
cc_102.1,possession or distribution of computer data — firearm manufacture,,10y,,sc
cc_103(2)#1,importing or exporting knowing it is unauthorized — firearm — first offence,3y,14y,,
cc_103(2)#s,importing or exporting knowing it is unauthorized — firearm — subsequent offence,5y,14y,,
cc_103(3),importing or exporting knowing it is unauthorized — other,,14y,,
cc_104,importing or exporting knowing it is unauthorized — firearm,,5y,,sc
cc_104.1,altering cartridge magazine,,5y,,sc
cc_105,losing or finding — firearm,,5y,,sc
cc_106,destroying — firearm,,5y,,sc
cc_107,false statements — firearm,,5y,,sc
cc_108,tampering with serial number,,5y,,sc
cc_117.01,possession contrary to order,,10y,,sc
cc_119,bribery of judicial officers,,14y,,
cc_120,bribery of officers,,14y,,
cc_121,frauds on the government,,5y,,sc
cc_121.1,selling tobacco products and raw leaf tobacco,,5y,,sc
cc_122,breach of trust by public officer,,5y,,sc
cc_123,municipal corruption,,5y,,
cc_123(1),municipal corruption,,,,sc
cc_123(2),influencing municipal official,,5y,,sc
cc_124,selling or purchasing office,,5y,,sc
cc_125,influencing or negotiating appointments or dealing in offices,,5y,,sc
cc_126,disobeying a statute,,2y,,sc
cc_127,disobeying order of court,,2y,,sc
cc_128,misconduct of officers executing process,,2y,,sc
cc_129,offences relating to public or peace officer,,2y,,sc
cc_130,personating peace officer,,5y,,sc
cc_132,perjury,,14y,,
cc_134,false statement,,,,sc
cc_136,witness giving contradictory evidence,,14y,,
cc_137,fabricating evidence,,14y,,
cc_138,offences relating to affidavits,,14y,,
cc_139(1),obstructing justice — surety indemnity,,2y,,sc
cc_139(2),obstructing justice — other,,10y,,sc
cc_140,public mischief,,5y,,sc
cc_141,compounding indictable offence,,2y,,sc
cc_142,corruptly taking reward for recovery of goods,,5y,,sc
cc_144,prison breach,,10y,,sc
cc_145(1),escape and being at large without excuse,,2y,,sc
cc_145(2),failure to attend court or surrender,,2y,,sc
cc_145(3),failure to comply with appearance notice or summons,,2y,,sc
cc_145(4),failure to comply with undertaking,,2y,,sc
cc_145(5),failure to comply with order,,2y,,sc
cc_146,permitting or assisting escape,,14y,,sc
cc_147,rescue or permitting escape,,5y,,sc
cc_148,assisting prisoner of war to escape,,5y,,sc
cc_151,sexual interference,1y,14y,90d,729d
cc_152,invitation to sexual touching,1y,14y,90d,729d
cc_153(1)(a),sexual exploitation — touching,1y,14y,90d,729d
cc_153(1)(b),sexual exploitation — invitation to touching,1y,14y,90d,729d
cc_153.1,sexual exploitation of person with disability,,10y,,sc
cc_155#1,incest — under 16,5y,14y,,
cc_155#2,incest — other,,14y,,
cc_160(1),bestiality,,10y,,sc
cc_160(2),compelling the commission of bestiality,,10y,,sc
cc_160(3),bestiality in presence of or by child,1y,14y,6m,sc
cc_161(4),failure to comply with 161 order,,4y,,sc
cc_162(1),voyeurism,,5y,,sc
cc_162(4),printing publication of voyeuristic recordings,,5y,,sc
cc_162.1,publication of an intimate image without consent,,5y,,sc
cc_162.2(4),failure to comply with prohibition order,,4y,,sc
cc_163,obscene materials,,2y,,sc
cc_163.1(2),making child pornography,1y,14y,,
cc_163.1(3),distribution of child pornography,1y,14y,,
cc_163.1(4),possession of child pornography,1y,10y,6m,729d
cc_163.1(4.1),accessing child pornography,1y,10y,6m,729d
cc_167,immoral theatrical performance,,2y,,sc
cc_168,mailing obscene matter,,2y,,sc
cc_170,parent or guardian procuring sexual activity,1y,14y,,
cc_171,householder permitting sexual activity,1y,14y,,
cc_171.1,making sexually explicit material available to child,6m,14y,90d,729d
cc_172,corrupting children,,2y,,sc
cc_172.1,luring a child,1y,14y,6m,729d
cc_172.2,agreement or arrangement — sexual offence against child,1y,14y,6m,729d
cc_173(1),indecent acts,,2y,,sc
cc_173(2),exposure,90,2y,30,6m
cc_174,nudity,,,,sc
cc_175,cause disturbance,,,,sc
cc_176,obstructing or violence to or arrest of officiating clergyman,,2y,,sc
cc_177,trespassing at night,,,,sc
cc_180,common nuisance,,2y,,sc
cc_182,dead body,,5y,,sc
cc_184,interception,,5y,,sc
cc_184.5,interception of radio-based telephone,,5y,,sc
cc_191,possession — private communication interception device,,2y,,sc
cc_193,disclosure of information,,2y,,sc
cc_193.1,disclosure of information received from interception of radio-based telephone communications,,2y,,sc
cc_201(1),keeping gaming or betting house,,2y,,sc
cc_201(2),person found in or owner permitting use,,,,sc
cc_202#1,betting pool-selling book-making — first offence,,2y,,
cc_202#2,betting pool-selling book-making — second offence,14d,2y,,
cc_202#s,betting pool-selling book-making — subsequent offence,3m,2y,,
cc_203#1,placing bets on behalf of others — first offence,,2y,,
cc_203#2,placing bets on behalf of others — second offence,14d,2y,,
cc_203#s,placing bets on behalf of others — subsequent offence,3m,2y,,
cc_204,contravention — horse racing regulations,,2y,,sc
cc_206(1),offence in relation to lotteries and games of chance,,2y,,
cc_206(4),ticket sales in relation to lotteries and games of chance,,,,sc
cc_207(3)(a),offence — permitted lotteries — unauthorized management or operation,,2y,,sc
cc_207(3)(b),offence — permitted lotteries — unauthorized participation,,,,sc
cc_207.1(3)(a),offence — lottery scheme on an international cruise ship — unauthorized management or operation,,2y,,sc
cc_207.1(3)(b),offence — lottery scheme on an international cruise ship — unauthorized participation,,,,sc
cc_209,cheating at play,,2y,,sc
cc_213(1),stopping or impeding traffic — sexual services for consideration,,,,sc
cc_213(1.1),communicating to provide sexual services for consideration,,,,sc
cc_215,offence — duty of persons to provide necessaries,,5y,,sc
cc_218,abandoning child,,5y,,sc
cc_220(a),criminal negligence causing death — firearm,4y,255y,,
cc_220(b),criminal negligence causing death — other,,255y,,
cc_221,criminal negligence causing bodily harm,,10y,,sc
cc_231(2),murder — first degree,255y,255y,,
cc_231(7),murder — second degree,255y,255y,,
cc_236(a),manslaughter — firearm,4y,255y,,
cc_236(b),manslaughter,,255y,,
cc_237,infanticide,,5y,,sc
cc_238,killing unborn child in act of birth,,255y,,
cc_239(1)(a)#1,attempt to commit murder — restricted or prohibited firearm — first offence,5y,255y,,
cc_239(1)(a)#s,attempt to commit murder — restricted or prohibited firearm — subsequent offence,7y,255y,,
cc_239(1)(a.1),attempt to commit murder — firearm,4y,255y,,
cc_239(1)(b),attempt to commit murder,,255y,,
cc_240,accessory after the fact to murder,,255y,,
cc_240.1,removal without informed consent — trafficking in human organs,,14y,,
cc_241,counselling or aiding suicide,,14y,,
cc_241.3,failure to comply with safeguards — medical assistance in dying,,5y,,sc
cc_241.31(4),failure to comply — filing information — medical assistance in dying,,2y,,sc
cc_241.31(5),failure to comply — regulations — medical assistance in dying,,2y,,sc
cc_241.4,forgery — medical assistance in dying,,5y,,sc
cc_242,neglect to obtain assistance in childbirth,,5y,,sc
cc_243,concealing body of child,,2y,,sc
cc_244(2)(a)#1,discharging firearm with intent — restricted or prohibited firearm — first offence,5y,255y,,
cc_244(2)(a)#s,discharging firearm with intent — restricted or prohibited firearm — subsequent offence,7y,255y,,
cc_244(2)(b),discharging firearm with intent,,14y,,
cc_244.1,causing bodily harm with intent — air gun or pistol,,14y,,
cc_244.2(3)(a)#1,discharging firearm — recklessness — restricted or prohibited firearm — first offence,5y,14y,,
