uid,offence,date,jail,mode,conditions,fine,appeal
2024skpc26_991191240_1,cc_151,2015-01-01&2018-07-03,8y,jail-consecutive,,,
2024skpc24_991204819_1,cc_151,2015-05-01&2016-07-31,6y,jail-consecutive,,,
2024skpc16_991174471_1,cc_271#b,2020-09-17&2021-04-01,790d,jail-consecutive,10y-ltso,,
2024skpc16_991174471_2,cc_753.3,2020-09-17&2021-04-01,730d,jail-consecutive,10y-ltso,,
2024skpc19_991218610_1,cc_286.1(2)#1,2022-12-25,6m,cso-consecutive,18m-probation,,
2024skpc11_991226880_1,cc_320.14(1)#1#a,2022-08-21,18m,cso-consecutive,,,
2024skpc10_991202616_1,cc_344(1)(b),2022-06-17,8y,jail-consecutive,,,
2024skpc9_90459589_1,cc_95,2023-03-20,1025d,jail-consecutive,,,
2023skpc59_991235415_1,cc_236(b),2022-10-12,2374d,jail-consecutive,,,
2023skpc61_991065867_1,cc_252(1.1),2018-09-20,5m,cso-consecutive,,,
2023skpc61_991070491_1,cc_145(5),2018-10-01,1m,cso-concurrent,,,
2023skpc61_991117275_1,cc_145(5),2020-01-07,1m,cso-concurrent,,,
2023skpc61_991128728_1,cc_320.16(1),2020-05-21,6m,cso-consecutive,,,
2023skpc61_991128728_2,cc_320.17,2020-05-21,6m,cso-consecutive,,,
2023skpc61_991128728_2,cc_320.13(1),2020-05-21,6m,cso-consecutive,,,
2023skpc55_991204819_1,cc_145(4),2022-08-03,,,,250,
2023skpc55_991204819_1,cc_271#a,2022-08-03,20m,cso-consecutive,12m-probation,,
2023skpc52_991220856_1,cc_286.1(2)#1,2022-10-26,182d,jail-consecutive,,,
2023skpc52_991219064_2,cc_163.1(4),2022-10-26&2023-01-05,365d,jail-concurrent,,,
2023skpc52_991219064_4,cc_163.1(2),2022-10-26,549d,jail-consecutive,,,
2023skpc52_991219064_6,cc_172.1,2022-09-01&2022-12-22,731d,jail-consecutive,,,
2023skpc52_991219064_7,cc_271#b,2022-10-26,1737d,jail-consecutive,,,
2023skpc38_90465335_1,cc_344(1)(b),2022_09_23,4y&6m&3d,jail-consecutive,,,
2023skpc38_90465338_7,cc_320.17,2022-10-17&2022-10-18,1y,jail-consecutive,,,
2023skpc38_90465338_8,cc_129,2022-10-17&2022-10-18,6m,jail-concurrent,,,
2023skpc30_90465590_1,cc_268,2022-05-17,915d,jail-consecutive,,,
2023skpc36_991133979_1,cc_268,2020-07-18,18m,jail-consecutive,,,
2023skpc48_24425214_1,cc_99(2)#1,2020-10-06&2021-01-19,3y,jail-consecutive,,,
2023skpc22_90436235_1,cc_320.18,2021-11-13,240d,jail-consecutive,24m-probation,,
2023skpc22_90436235_2,cc_320.18,2021-11-13,60d,jail-concurrent,,,
2023skpc1_90469031_1,cc_268,2022-04-23,2y,jail-consecutive,2y-probation,,
2023skpc1_90469031_3,cc_268,2022-04-23,2y,jail-concurrent,2y-probation,,
2023skpc14_Y364961_1,cc_231(7)_ycja,2021-09-24,6y&8m,ircs-consecutive,,,
2023skpc4_991144489_5,cc_95,2020-11-02,36m,jail-consecutive,,,
2023skpc4_991144489_1,cdsa_5(2),2020-11-02,18m,jail-concurrent,,,
2023skpc4_991144489_2,cdsa_5(2),2020-11-02,18m,jail-concurrent,,,
2023skpc4_991144489_3,cc_94,2020-11-02,18m,jail-concurrent,,,
2023skpc4_991144489_4,cc_94,2020-11-02,12m,jail-concurrent,,,
2023skpc4_991144489_8,cc_86(2),2020-11-02,6m,jail-concurrent,,,
2023skpc4_991144489_9,cc_88,2020-11-02,6m,jail-concurrent,,,
2023skpc4_991144489_10,cc_355(b),2020-11-02,6m,jail-concurrent,,,
2023skpc4_991144489_16,cc_733.1,2020-11-02,4m,jail-concurrent,,,
2023skpc4_991144489_14,cc_117.01,2020-11-02,6m,jail-consecutive,,,
2023skpc4_991144489_15,cc_117.01,2020-11-02,6m,jail-concurrent,,,
2023skpc4_991144489_13,cc_320.18,2020-11-02,4m,jail-consecutive,,,
2023skpc4_991169493_1,cc_145(5),2021-08-09,2m,jail-consecutive,,,
2023skpc4_90436063_1,cc_145(5),2021-08-09,2m,jail-concurrent,,,
2023skpc4_991173173_1,cc_117.01,2021-09-16,6m,jail-consecutive,,,
2023skpc4_991173173_3,cc_129,2021-09-16,6m,jail-concurrent,,,
2023skpc4_991173173_5,cc_145(5),2021-09-16,2m,jail-concurrent,,,
2022skpc45_991160294_1,cc_271#a,2019-06-01&2019-07-31,,,3y-probation,,
2022skpc45_991160294_1,cc_271#a,2020-76-01&2020-07-31,,,3y-probation,,
2022skpc40_991197586_1,cc_221,2021-05-11,8m,jail-consecutive,2y-probation,,
